,Fintech,S&P500,NASDAQ,EMCLOUD
2021-01-27,1272.46%,82.17%,180.20%,766.62%
2021-01-28,1319.79%,83.95%,181.61%,789.86%
2021-01-29,1217.62%,80.40%,175.98%,779.65%
2021-02-01,1269.02%,83.29%,183.01%,798.47%
2021-02-02,1367.49%,85.84%,187.43%,828.70%
2021-02-03,1347.73%,86.03%,187.38%,822.06%
2021-02-04,1395.46%,88.05%,190.91%,841.94%
2021-02-05,1422.91%,88.78%,192.57%,859.81%
2021-02-08,1514.42%,90.18%,195.34%,866.87%
2021-02-09,1593.83%,89.97%,195.77%,877.75%
2021-02-10,1613.34%,89.90%,195.02%,878.93%
2021-02-11,1627.77%,90.22%,196.15%,882.66%
2021-02-12,1634.55%,91.11%,197.62%,888.94%
2021-02-16,1657.41%,91.00%,196.61%,876.42%
2021-02-17,1603.50%,90.94%,194.88%,864.90%
2021-02-18,1568.01%,90.10%,192.76%,866.85%
2021-02-19,1625.51%,89.75%,192.95%,877.83%
2021-02-22,1560.08%,88.28%,185.75%,825.88%
2021-02-23,1464.29%,88.52%,184.31%,807.76%
2021-02-24,1423.27%,90.66%,187.12%,817.16%
2021-02-25,1353.69%,85.99%,177.01%,768.87%
2021-02-26,1401.66%,85.11%,178.55%,771.67%
2021-03-01,1445.67%,89.51%,186.92%,805.41%
2021-03-02,1466.64%,87.98%,182.07%,778.86%
2021-03-03,1346.52%,85.52%,174.44%,730.40%
2021-03-04,1253.42%,83.03%,168.65%,697.48%
2021-03-05,1236.12%,86.60%,172.80%,693.99%
2021-03-08,1152.56%,85.60%,166.24%,658.07%
2021-03-09,1250.02%,88.23%,176.05%,710.01%
2021-03-10,1215.12%,89.36%,175.94%,701.24%
2021-03-11,1292.91%,91.33%,182.91%,741.28%
2021-03-12,1296.04%,91.53%,181.24%,728.89%
2021-03-15,1335.02%,92.77%,184.20%,738.74%
2021-03-16,1297.09%,92.47%,184.45%,727.43%
2021-03-17,1326.31%,93.02%,185.58%,728.73%
2021-03-18,1229.09%,90.17%,176.94%,685.98%
2021-03-19,1230.60%,90.06%,179.04%,699.29%
2021-03-22,1245.63%,91.39%,182.46%,714.88%
2021-03-23,1249.27%,89.93%,179.30%,711.28%
2021-03-24,1184.49%,88.89%,173.69%,672.76%
2021-03-25,1132.02%,89.88%,174.02%,671.90%
2021-03-26,1145.75%,93.04%,177.42%,679.19%
2021-03-29,1113.81%,92.87%,175.75%,657.67%
2021-03-30,1132.16%,92.27%,175.45%,659.81%
2021-03-31,1211.80%,92.96%,179.70%,687.61%
2021-04-01,1256.10%,95.24%,184.63%,711.29%
2021-04-05,1249.90%,98.06%,189.39%,710.51%
2021-04-06,1271.62%,97.87%,189.24%,722.23%
2021-04-07,1297.82%,98.16%,189.03%,712.74%
2021-04-08,1378.85%,99.00%,192.00%,732.98%
2021-04-09,1390.00%,100.53%,193.50%,730.82%
2021-04-12,1383.76%,100.49%,192.44%,732.68%
2021-04-13,1402.57%,101.16%,195.52%,756.60%
2021-04-14,1314.99%,100.33%,192.60%,745.10%
2021-04-15,1351.32%,102.56%,196.42%,762.25%
2021-04-16,1335.33%,103.29%,196.71%,752.06%
2021-04-19,1263.51%,102.21%,193.81%,732.89%
2021-04-20,1249.04%,100.83%,191.09%,717.23%
2021-04-21,1258.45%,102.70%,194.55%,728.48%
2021-04-22,1215.17%,100.83%,191.77%,735.24%
2021-04-23,1214.51%,103.03%,195.96%,750.03%
2021-04-26,1286.71%,103.39%,198.54%,778.46%
2021-04-27,1276.93%,103.35%,197.51%,772.45%
2021-04-28,1398.50%,103.18%,196.68%,773.78%
2021-04-29,1338.89%,104.55%,197.35%,751.44%
2021-04-30,1293.52%,103.08%,194.82%,
2021-05-03,1240.38%,103.64%,193.39%,718.93%
2021-05-04,1241.49%,102.28%,187.87%,689.95%
2021-05-05,1225.91%,102.42%,186.79%,679.91%
2021-05-06,1186.86%,104.07%,187.85%,657.98%
2021-05-07,1221.33%,105.58%,190.37%,669.25%
2021-05-10,1165.56%,103.43%,182.98%,650.14%
2021-05-11,1199.41%,101.67%,182.71%,667.09%
2021-05-12,1155.92%,97.34%,175.16%,639.51%
2021-05-13,1106.22%,99.74%,177.13%,629.08%
2021-05-14,1151.15%,102.72%,183.57%,655.44%
2021-05-17,1151.97%,102.21%,182.49%,649.44%
2021-05-18,1183.49%,100.49%,180.90%,659.36%
2021-05-19,1214.12%,99.90%,180.82%,659.63%
2021-05-20,1258.80%,102.01%,185.80%,682.11%
2021-05-21,1255.91%,101.85%,184.44%,683.52%
2021-05-24,1310.64%,103.85%,188.45%,695.00%
2021-05-25,1297.79%,103.42%,188.37%,695.04%
2021-05-26,1302.63%,103.80%,190.07%,709.02%
2021-05-27,1299.53%,104.04%,190.04%,706.67%
2021-05-28,1304.00%,104.19%,190.30%,711.23%
2021-06-01,1311.65%,104.09%,190.04%,707.36%
2021-06-02,1280.47%,104.39%,190.46%,711.99%
2021-06-03,1229.31%,103.65%,187.47%,696.45%
2021-06-04,1240.02%,105.44%,191.69%,707.48%
2021-06-07,1264.56%,105.28%,193.11%,721.97%
2021-06-08,1251.03%,105.32%,194.02%,731.26%
2021-06-09,1233.73%,104.94%,193.74%,727.29%
2021-06-10,1267.22%,105.90%,196.03%,746.64%
2021-06-11,1285.34%,106.30%,197.07%,760.69%
2021-06-14,1364.69%,106.67%,199.28%,771.03%
2021-06-15,1378.29%,106.26%,197.14%,758.12%
2021-06-16,1412.32%,105.14%,196.44%,765.31%
2021-06-17,1514.64%,105.05%,199.01%,
2021-06-18,1533.11%,102.36%,196.25%,806.44%
2021-06-21,1546.00%,105.20%,198.59%,806.44%
2021-06-22,1578.59%,106.25%,200.95%,815.70%
2021-06-23,1573.87%,106.02%,201.34%,821.51%
2021-06-24,1554.19%,107.22%,203.41%,827.94%
2021-06-25,1543.97%,107.91%,203.21%,827.16%
2021-06-28,1580.29%,108.39%,206.17%,834.11%
2021-06-29,1572.57%,108.45%,206.76%,835.90%
2021-06-30,1541.59%,108.73%,206.25%,816.22%
2021-07-01,1528.12%,109.82%,206.63%,815.70%
2021-07-02,1533.84%,111.39%,209.10%,824.05%
2021-07-06,1624.33%,110.96%,209.62%,842.58%
2021-07-07,1607.18%,111.67%,209.65%,839.58%
2021-07-08,1544.10%,109.86%,207.42%,831.09%
2021-07-09,1580.39%,112.23%,210.43%,840.64%
2021-07-12,1584.41%,112.96%,211.09%,829.64%
2021-07-13,1609.82%,112.21%,209.91%,823.99%
2021-07-14,1476.65%,112.46%,209.22%,804.15%
2021-07-15,1451.99%,111.77%,207.07%,789.68%
2021-07-16,1458.01%,110.17%,204.63%,793.94%
2021-07-19,1486.70%,106.83%,201.41%,800.11%
2021-07-20,1555.89%,109.97%,206.14%,823.55%
2021-07-21,1611.47%,111.70%,208.95%,835.01%
2021-07-22,1646.39%,112.13%,210.06%,846.24%
2021-07-23,1707.50%,114.28%,213.28%,853.66%
2021-07-26,1634.95%,114.79%,213.36%,849.46%
2021-07-27,1597.30%,113.78%,209.55%,831.44%
2021-07-28,1581.88%,113.74%,211.71%,848.90%
2021-07-29,1565.45%,114.64%,212.04%,849.94%
2021-07-30,1528.55%,113.48%,209.81%,840.51%
2021-08-02,1611.49%,113.08%,209.99%,844.57%
2021-08-03,1594.08%,114.83%,211.68%,843.74%
2021-08-04,1617.00%,113.84%,212.09%,860.56%
2021-08-05,1637.02%,115.12%,214.51%,874.45%
2021-08-06,1601.90%,115.48%,213.25%,862.59%
2021-08-09,1625.72%,115.28%,213.77%,864.96%
2021-08-10,1599.46%,115.49%,212.25%,846.68%
2021-08-11,1549.63%,115.77%,211.76%,841.51%
2021-08-12,1564.83%,116.66%,212.84%,853.71%
2021-08-13,1557.58%,117.01%,212.98%,851.42%
2021-08-16,1543.65%,117.58%,212.36%,835.39%
2021-08-17,1535.08%,116.04%,209.46%,828.51%
2021-08-18,1539.96%,113.72%,206.71%,827.19%
2021-08-19,1510.16%,113.99%,207.04%,824.19%
2021-08-20,1499.34%,115.73%,210.69%,833.97%
2021-08-23,1536.76%,117.57%,215.51%,856.11%
2021-08-24,1583.19%,117.89%,217.14%,873.57%
2021-08-25,1592.80%,118.38%,217.60%,878.28%
2021-08-26,1544.04%,117.11%,215.58%,873.29%
2021-08-27,1558.86%,119.02%,219.45%,896.07%
2021-08-30,1570.78%,119.96%,222.33%,904.11%
2021-08-31,1543.52%,119.66%,222.19%,898.27%
2021-09-01,1537.99%,119.73%,223.25%,908.86%
2021-09-02,1532.47%,120.36%,223.71%,917.65%
2021-09-03,1527.17%,120.28%,224.40%,934.24%
2021-09-07,1509.51%,119.54%,224.62%,927.13%
2021-09-08,1425.87%,119.25%,222.77%,904.24%
2021-09-09,1436.99%,118.24%,221.96%,903.88%
2021-09-10,1407.48%,116.55%,219.16%,886.66%
2021-09-13,1406.84%,117.04%,218.95%,881.68%
2021-09-14,1387.73%,115.80%,217.52%,883.23%
2021-09-15,1409.34%,117.63%,220.13%,890.47%
2021-09-16,1414.90%,117.29%,220.56%,906.66%
2021-09-17,1425.58%,115.31%,217.65%,906.50%
2021-09-20,1379.43%,111.65%,210.68%,880.34%
2021-09-21,1380.46%,111.48%,211.36%,885.28%
2021-09-22,1419.74%,113.49%,214.54%,897.37%
2021-09-23,1432.65%,116.09%,217.82%,911.37%
2021-09-24,1394.40%,116.40%,217.73%,905.80%
2021-09-27,1380.77%,115.80%,216.09%,888.50%
2021-09-28,1295.26%,111.41%,207.15%,842.69%
2021-09-29,1270.36%,111.74%,206.42%,837.29%
2021-09-30,1285.32%,109.22%,205.08%,843.71%
2021-10-01,1276.82%,111.62%,207.57%,853.61%
2021-10-04,1232.42%,108.87%,201.00%,812.97%
2021-10-05,1245.03%,111.07%,204.77%,828.01%
2021-10-06,1269.38%,111.94%,206.20%,840.17%
2021-10-07,1325.88%,113.69%,209.41%,856.55%
2021-10-08,1291.52%,113.29%,207.84%,845.30%
2021-10-11,1263.60%,111.82%,205.87%,839.94%
2021-10-12,1266.84%,111.31%,205.44%,857.19%
2021-10-13,1308.57%,111.95%,207.67%,890.82%
2021-10-14,1316.23%,115.56%,212.99%,909.04%
2021-10-15,1332.04%,117.17%,214.55%,905.20%
2021-10-18,1369.09%,117.91%,217.18%,916.73%
2021-10-19,1387.20%,119.52%,219.45%,928.06%
2021-10-20,1387.31%,120.32%,219.29%,925.71%
2021-10-21,1415.16%,120.98%,221.27%,940.32%
2021-10-22,1329.87%,120.74%,218.62%,929.80%
2021-10-25,1335.14%,121.79%,221.51%,938.24%
2021-10-26,1288.51%,122.20%,221.70%,928.31%
2021-10-27,1273.49%,121.07%,221.70%,909.06%
2021-10-28,1372.13%,123.25%,226.18%,921.71%
2021-10-29,1369.34%,123.68%,227.24%,926.18%
2021-11-01,1420.18%,124.08%,229.30%,934.71%
2021-11-02,1366.16%,124.91%,230.44%,923.63%
2021-11-03,1384.61%,126.36%,233.86%,931.07%
2021-11-04,1422.98%,127.31%,236.57%,945.58%
2021-11-05,1403.68%,128.16%,237.23%,940.83%
2021-11-08,1402.48%,128.36%,237.46%,953.67%
2021-11-09,1431.35%,127.56%,235.44%,971.07%
2021-11-10,1359.40%,125.69%,229.87%,931.41%
2021-11-11,1365.83%,125.81%,231.59%,933.03%
2021-11-12,1551.46%,127.44%,234.90%,952.75%
2021-11-15,1547.64%,127.44%,234.75%,943.13%
2021-11-16,1575.49%,128.32%,237.28%,952.68%
2021-11-17,1540.70%,127.73%,236.18%,933.72%
2021-11-18,1608.24%,128.50%,237.70%,918.80%
2021-11-19,1615.09%,128.18%,239.05%,904.55%
2021-11-22,1512.54%,127.45%,234.77%,847.49%
2021-11-23,1494.15%,127.83%,233.09%,826.45%
2021-11-24,1558.84%,128.35%,234.57%,841.86%
2021-11-26,1499.73%,123.16%,227.10%,835.69%
2021-11-29,1486.43%,126.10%,233.25%,845.89%
2021-11-30,1436.85%,121.82%,228.07%,823.14%
2021-12-01,1369.62%,119.20%,222.08%,762.11%
2021-12-02,1351.07%,122.31%,224.77%,777.53%
2021-12-03,1311.40%,120.43%,218.52%,736.64%
2021-12-06,1323.64%,123.02%,221.47%,741.00%
2021-12-07,1413.20%,127.63%,231.22%,786.85%
2021-12-08,1410.94%,128.34%,233.34%,808.95%
2021-12-09,1394.06%,126.70%,227.64%,775.48%
2021-12-10,1358.07%,128.86%,230.03%,758.17%
2021-12-13,1286.54%,126.77%,225.45%,754.15%
2021-12-14,1240.35%,125.08%,221.74%,731.26%
2021-12-15,1251.90%,128.76%,228.66%,753.87%
2021-12-16,1212.30%,126.76%,220.53%,720.35%
2021-12-17,1210.48%,124.42%,220.30%,745.92%
2021-12-20,1164.43%,121.87%,216.32%,734.18%
2021-12-21,1261.78%,125.81%,223.92%,770.47%
2021-12-22,1271.83%,128.11%,227.74%,770.00%
2021-12-23,1322.28%,129.53%,230.52%,771.92%
2021-12-27,1273.16%,132.71%,235.12%,773.86%
2021-12-28,1251.96%,132.47%,233.23%,
2021-12-29,1277.74%,132.80%,232.90%,754.33%
2021-12-30,1275.78%,132.10%,232.38%,765.63%
2021-12-31,1252.84%,131.49%,230.34%,751.33%
2022-01-03,1187.66%,132.97%,234.30%,742.38%
2022-01-04,1034.41%,132.82%,229.87%,707.36%
2022-01-05,1001.14%,128.31%,218.83%,660.42%
2022-01-06,984.08%,128.09%,218.43%,665.56%
2022-01-07,953.81%,127.16%,215.37%,659.96%
2022-01-10,951.12%,126.83%,215.51%,668.31%
2022-01-11,973.26%,128.91%,219.96%,687.54%
2022-01-12,985.79%,129.56%,220.70%,678.76%
2022-01-13,881.91%,126.29%,212.64%,636.57%
2022-01-14,922.49%,126.47%,214.48%,633.88%
2022-01-18,882.46%,122.31%,206.31%,612.93%
2022-01-19,853.52%,120.15%,202.79%,611.21%
2022-01-20,847.20%,117.72%,198.86%,608.27%
2022-01-21,713.65%,113.61%,190.73%,583.87%
2022-01-24,765.77%,114.20%,192.55%,609.56%
2022-01-25,724.44%,111.59%,185.88%,575.40%
2022-01-26,699.02%,111.27%,185.94%,566.37%
2022-01-27,652.09%,110.14%,181.94%,558.43%
2022-01-28,705.85%,115.25%,190.76%,589.39%
2022-01-31,793.11%,119.32%,200.67%,633.82%
2022-02-01,808.81%,120.82%,202.91%,642.53%
2022-02-02,708.18%,122.90%,204.42%,615.25%
2022-02-03,627.85%,117.47%,193.05%,584.67%
2022-02-04,694.61%,118.59%,197.67%,616.59%
2022-02-07,676.94%,117.78%,195.94%,620.78%
2022-02-08,685.51%,119.61%,199.71%,632.98%
2022-02-09,733.42%,122.80%,205.96%,651.29%
2022-02-10,705.40%,118.76%,199.52%,645.54%
2022-02-10,705.40%,118.76%,199.52%,645.54%
2022-02-11,672.89%,114.61%,191.20%,615.76%
2022-02-14,675.30%,113.79%,191.19%,616.56%
2022-02-15,711.06%,117.16%,198.56%,637.66%
2022-02-16,577.58%,117.35%,198.23%,624.22%
2022-02-17,500.95%,112.75%,189.62%,581.04%
2022-02-18,487.69%,111.22%,186.06%,559.02%
2022-02-22,460.34%,109.08%,182.55%,549.00%
2022-02-23,460.46%,105.23%,175.28%,518.01%
2022-02-24,499.11%,108.30%,184.49%,567.17%
2022-02-25,550.67%,112.96%,189.16%,571.79%
2022-02-28,572.32%,112.44%,190.36%,589.27%
2022-03-01,556.72%,109.15%,185.73%,584.13%
2022-03-02,545.40%,113.05%,190.37%,586.18%
2022-03-03,519.88%,111.93%,185.85%,553.03%
2022-03-04,483.63%,110.25%,181.11%,523.44%
2022-03-07,433.20%,104.05%,170.92%,495.04%
2022-03-08,398.78%,102.57%,170.17%,497.69%
2022-03-09,466.74%,107.78%,179.89%,532.17%
2022-03-10,435.77%,106.88%,177.23%,517.28%
2022-03-11,424.69%,104.20%,171.19%,479.35%
2022-03-14,396.29%,102.69%,165.65%,450.48%
2022-03-15,440.68%,107.03%,173.41%,466.79%
2022-03-15,440.68%,107.03%,173.41%,513.14%
2022-03-16,508.29%,111.66%,183.71%,512.91%
2022-03-17,555.63%,114.27%,187.47%,542.35%
2022-03-18,668.93%,116.77%,193.36%,571.17%
2022-03-21,583.13%,116.68%,192.19%,563.53%
2022-03-22,627.42%,119.13%,197.90%,586.54%
2022-03-23,601.54%,116.44%,193.97%,576.32%
2022-03-24,602.23%,119.54%,199.66%,582.47%
2022-03-25,574.75%,120.65%,199.18%,559.91%
2022-03-25,574.75%,120.65%,199.18%,573.95%
2022-03-28,607.56%,122.23%,203.10%,574.02%
2022-03-29,646.49%,124.96%,208.69%,605.56%
2022-03-30,607.18%,123.54%,204.94%,583.62%
2022-03-31,580.31%,120.04%,200.26%,571.45%
2022-04-01,556.67%,120.79%,201.13%,581.41%
2022-04-04,599.61%,122.58%,206.85%,605.53%
2022-04-05,571.10%,119.78%,199.92%,578.17%
2022-04-06,527.89%,117.65%,193.26%,549.43%
2022-04-07,518.63%,118.57%,193.44%,548.83%
2022-04-07,518.63%,118.57%,193.44%,548.83%
2022-04-08,487.28%,117.99%,189.50%,533.83%
2022-04-08,487.28%,117.99%,189.50%,533.83%
2022-04-11,495.25%,114.31%,183.19%,533.83%
2022-04-11,495.25%,114.31%,183.19%,537.52%
2022-04-12,477.63%,113.58%,182.34%,537.52%
2022-04-13,490.69%,115.97%,188.08%,537.90%
2022-04-13,490.69%,115.97%,188.08%,537.90%
2022-04-13,490.69%,115.97%,188.08%,559.15%
2022-04-14,462.75%,113.35%,181.90%,559.15%
2022-04-18,464.07%,113.30%,181.51%,535.83%
2022-04-19,491.82%,116.73%,187.57%,519.29%
2022-04-20,417.41%,116.59%,184.06%,544.32%
2022-04-21,376.21%,113.40%,178.18%,517.61%
2022-04-22,354.15%,107.48%,171.10%,490.99%
2022-04-25,365.43%,108.66%,174.59%,479.35%
2022-04-26,338.25%,102.79%,163.74%,499.43%
2022-04-27,331.60%,103.21%,163.70%,471.40%
2022-04-28,355.05%,108.24%,171.78%,467.14%
2022-04-29,333.62%,100.69%,160.44%,490.97%
2022-04-29,333.62%,100.69%,160.44%,464.23%
2022-05-02,359.14%,101.83%,164.69%,464.23%
2022-05-03,362.13%,102.80%,165.28%,
2022-05-04,380.98%,108.86%,173.75%,
2022-05-05,314.90%,101.41%,160.08%,
2022-05-06,299.65%,100.27%,156.43%,
2022-05-09,252.24%,93.85%,145.42%,
2022-05-10,255.54%,94.33%,147.84%,
2022-05-11,223.03%,91.13%,139.95%,
2022-05-12,247.72%,90.88%,140.09%,
2022-05-13,287.62%,95.44%,149.26%,
2022-05-16,258.08%,94.67%,146.26%,
2022-05-17,274.84%,98.59%,153.05%,
2022-05-18,257.17%,90.57%,141.09%,385.77%
2022-05-19,284.52%,89.46%,140.46%,363.55%
2022-05-20,262.35%,89.49%,139.75%,384.95%
2022-05-23,265.27%,93.00%,143.56%,387.65%
2022-05-24,226.73%,91.44%,137.84%,386.36%
2022-05-25,233.06%,93.25%,141.44%,358.58%
2022-05-26,254.52%,97.09%,147.90%,374.48%
2022-05-27,274.15%,101.96%,156.14%,388.43%
2022-05-31,272.01%,100.70%,155.09%,414.94%
2022-06-01,256.43%,99.20%,153.26%,397.67%
2022-06-02,289.13%,102.87%,160.07%,394.32%
2022-06-03,254.34%,99.55%,153.64%,426.61%
2022-06-06,260.09%,100.18%,154.67%,408.68%
2022-06-07,275.49%,102.08%,157.08%,405.31%
2022-06-08,282.32%,99.90%,155.20%,418.64%
2022-06-09,256.39%,95.14%,148.19%,420.70%
2022-06-10,233.78%,89.46%,139.44%,398.11%
2022-06-13,197.23%,82.12%,128.23%,369.61%
2022-06-14,186.80%,81.43%,128.64%,333.88%
2022-06-15,207.51%,84.08%,134.35%,334.01%
2022-06-16,185.46%,78.09%,124.79%,352.63%
2022-06-17,192.55%,78.49%,128.00%,326.30%
2022-06-21,200.72%,82.85%,133.72%,345.65%
2022-06-22,210.30%,82.62%,133.38%,354.81%
2022-06-23,233.93%,84.36%,137.16%,360.40%
2022-06-24,255.75%,89.99%,145.09%,388.00%
2022-06-27,245.79%,89.43%,143.34%,413.60%
2022-06-28,224.33%,85.61%,136.09%,401.35%
2022-06-29,210.84%,85.48%,136.02%,378.37%
2022-06-30,195.94%,83.85%,132.87%,375.97%
2022-07-01,200.77%,85.79%,134.96%,360.97%
2022-07-05,222.41%,86.09%,139.07%,375.74%
2022-07-06,215.65%,86.75%,139.90%,400.77%
2022-07-07,233.47%,89.55%,145.38%,394.91%
2022-07-08,232.73%,89.39%,145.68%,415.23%
2022-07-11,207.06%,87.21%,140.13%,413.15%
2022-07-12,208.54%,85.48%,137.85%,393.01%
2022-07-13,207.02%,84.65%,137.49%,373.19%
2022-07-14,197.09%,84.10%,137.56%,369.21%
2022-07-15,208.87%,87.63%,141.81%,354.67%
2022-07-18,215.78%,86.06%,139.86%,366.65%
2022-07-19,230.15%,91.20%,147.32%,365.72%
2022-07-20,264.73%,92.33%,151.21%,374.91%
2022-07-21,279.26%,94.23%,154.63%,404.18%
2022-07-22,256.98%,92.41%,149.87%,413.58%
2022-07-25,254.01%,92.67%,148.79%,390.49%
2022-07-26,216.47%,90.44%,144.14%,380.23%
2022-07-27,252.01%,95.43%,154.06%,356.60%
2022-07-28,258.46%,97.80%,156.81%,378.00%
2022-07-29,256.03%,100.61%,161.63%,384.01%
2022-08-01,268.85%,100.04%,161.17%,385.54%
2022-08-02,278.20%,98.71%,160.74%,390.00%
2022-08-03,317.01%,101.82%,167.48%,402.51%
2022-08-04,325.68%,101.66%,168.59%,431.79%
2022-08-05,319.58%,101.33%,167.26%,435.13%
2022-08-08,307.73%,101.08%,166.98%,441.74%
2022-08-09,287.44%,100.23%,163.80%,452.04%
2022-08-10,323.80%,104.49%,171.42%,435.64%
2022-08-11,319.27%,104.35%,169.84%,467.09%
2022-08-12,327.14%,107.89%,175.49%,454.41%
2022-08-15,319.71%,108.71%,177.19%,457.52%
2022-08-16,311.63%,109.10%,176.66%,457.83%
2022-08-17,289.44%,107.59%,173.18%,452.73%
2022-08-18,283.87%,108.06%,173.76%,436.84%
2022-08-19,261.87%,105.38%,168.27%,437.15%
2022-08-22,250.76%,100.98%,161.43%,415.55%
2022-08-23,245.47%,100.53%,161.43%,401.17%
2022-08-24,251.72%,101.12%,162.49%,399.29%
2022-08-25,262.37%,103.95%,166.87%,407.97%
2022-08-26,241.48%,97.08%,156.37%,419.61%
2022-08-29,237.50%,95.77%,153.75%,397.77%
2022-08-30,235.33%,93.61%,150.91%,389.52%
2022-08-31,235.93%,92.09%,149.49%,390.57%
2022-09-01,233.47%,92.67%,148.84%,387.02%
2022-09-02,224.39%,90.60%,145.58%,363.67%
2022-09-06,223.29%,89.82%,143.77%,362.37%
2022-09-07,234.76%,93.30%,148.98%,360.35%
2022-09-08,246.34%,94.58%,150.46%,374.22%
2022-09-09,267.45%,97.55%,155.75%,386.44%
2022-09-12,273.47%,99.64%,159.00%,407.59%
2022-09-13,250.36%,91.01%,145.64%,419.64%
2022-09-14,255.40%,91.66%,147.46%,390.11%
2022-09-15,256.22%,89.49%,143.92%,396.07%
2022-09-16,236.50%,88.13%,141.73%,392.82%
2022-09-19,243.76%,89.42%,143.56%,371.39%
2022-09-20,227.38%,87.28%,141.24%,375.09%
2022-09-20,227.38%,87.28%,141.24%,375.09%
2022-09-20,227.38%,87.28%,141.24%,363.01%
2022-09-21,220.93%,84.08%,136.91%,363.01%
2022-09-22,203.47%,82.52%,133.67%,357.70%
2022-09-23,200.65%,79.38%,129.47%,339.19%
2022-09-26,194.42%,77.52%,128.10%,332.19%
2022-09-27,194.34%,77.15%,128.66%,326.30%
2022-09-28,212.23%,80.63%,133.35%,335.62%
2022-09-29,195.52%,76.82%,126.72%,354.42%
2022-09-30,192.98%,74.15%,123.30%,344.96%
2022-10-03,203.60%,78.66%,128.36%,339.46%
2022-10-04,237.38%,84.12%,135.99%,348.73%
2022-10-05,233.52%,83.75%,135.40%,374.43%
2022-10-06,229.46%,81.87%,133.81%,374.61%
2022-10-07,205.18%,76.78%,124.92%,375.49%
2022-10-10,196.38%,75.45%,122.59%,347.78%
2022-10-11,183.32%,74.31%,120.15%,324.58%
2022-10-12,185.96%,73.74%,119.95%,316.51%
2022-10-13,188.10%,78.25%,124.85%,314.30%
2022-10-14,175.05%,74.03%,117.93%,313.77%
2022-10-17,199.36%,78.64%,125.42%,298.54%
2022-10-18,206.26%,80.68%,127.46%,322.27%
2022-10-19,197.97%,79.47%,125.52%,333.27%
2022-10-20,207.08%,78.05%,124.13%,319.80%
2022-10-21,209.26%,82.27%,129.30%,325.15%
2022-10-24,203.89%,84.44%,131.26%,328.92%
2022-10-25,215.97%,87.44%,136.47%,326.50%
2022-10-26,208.61%,86.05%,131.65%,352.72%
2022-10-27,237.51%,84.92%,127.88%,343.30%
2022-10-28,242.73%,89.47%,134.42%,350.66%
2022-10-31,244.59%,88.06%,132.01%,354.90%
2022-11-01,248.49%,87.29%,129.96%,353.42%
2022-11-02,230.01%,82.61%,122.23%,347.48%
2022-11-03,232.78%,80.67%,118.39%,314.46%
2022-11-04,239.31%,83.13%,121.18%,311.21%
2022-11-07,244.92%,84.89%,123.07%,287.34%
2022-11-08,249.96%,85.93%,124.16%,287.19%
2022-11-09,231.63%,82.07%,118.60%,291.34%
2022-11-10,280.45%,92.16%,134.67%,277.94%
2022-11-11,306.13%,93.94%,139.09%,327.99%
2022-11-14,297.83%,92.20%,136.40%,349.33%
2022-11-15,315.82%,93.88%,139.83%,337.16%
2022-11-16,303.08%,92.28%,136.14%,355.06%
2022-11-17,292.28%,91.68%,135.32%,332.67%
2022-11-18,287.21%,92.60%,135.35%,317.59%
2022-11-21,274.49%,91.85%,132.78%,311.11%
2022-11-22,275.69%,94.45%,135.94%,302.02%
2022-11-23,285.71%,95.60%,138.29%,301.70%
2022-11-25,284.79%,95.55%,137.04%,315.56%
2022-11-28,289.22%,92.53%,133.31%,313.42%
2022-11-29,279.07%,92.22%,131.92%,306.89%
2022-11-30,312.92%,98.17%,142.14%,301.98%
2022-12-01,335.85%,98.00%,142.45%,323.25%
2022-12-02,330.71%,97.76%,142.01%,335.38%
2022-12-05,304.18%,94.22%,137.33%,331.35%
2022-12-06,287.67%,91.43%,132.58%,309.80%
2022-12-07,285.75%,91.07%,131.39%,301.84%
2022-12-08,289.13%,92.51%,133.99%,302.19%
2022-12-09,291.21%,91.09%,132.36%,317.21%
2022-12-12,290.12%,93.82%,135.30%,316.11%
2022-12-13,299.91%,95.23%,137.68%,331.75%
2022-12-14,296.94%,94.05%,135.87%,338.47%
2022-12-15,275.82%,89.22%,128.26%,341.93%
2022-12-16,269.95%,87.11%,126.04%,325.85%
2022-12-19,271.50%,85.42%,122.68%,324.56%
2022-12-20,274.52%,85.61%,122.70%,309.21%
2022-12-21,279.07%,88.37%,126.12%,312.12%
2022-12-22,264.35%,85.65%,121.20%,315.23%
2022-12-23,258.61%,86.74%,121.66%,304.53%
2022-12-27,253.51%,85.99%,118.60%,300.82%
2022-12-28,246.23%,83.75%,115.65%,291.76%
2022-12-29,267.59%,86.96%,121.24%,290.69%
2022-12-30,262.14%,86.48%,121.00%,310.64%
2023-01-03,272.20%,85.74%,119.32%,312.68%
2023-01-04,286.56%,87.14%,120.83%,310.15%
2023-01-05,277.83%,84.96%,117.59%,313.23%
2023-01-06,290.77%,89.18%,123.17%,293.23%
2023-01-09,291.66%,89.04%,124.57%,295.85%
2023-01-10,288.11%,90.36%,126.83%,308.56%
2023-01-11,289.96%,92.80%,130.82%,310.95%
2023-01-12,301.58%,93.46%,132.28%,320.56%
2023-01-13,322.18%,94.23%,133.93%,324.76%
2023-01-17,331.87%,93.84%,134.27%,328.92%
2023-01-18,324.19%,90.82%,131.35%,337.36%
2023-01-19,317.44%,89.37%,129.14%,329.90%
