,Fintech,S&P500,NASDAQ,EMCLOUD
2016-07-06,1.27%,1.98%,2.60%,20.42%
2016-07-07,2.20%,1.89%,2.97%,22.18%
2016-07-08,4.85%,3.45%,4.66%,25.35%
2016-07-11,6.50%,3.80%,5.33%,27.30%
2016-07-12,8.47%,4.53%,6.06%,28.44%
2016-07-13,8.83%,4.54%,5.69%,27.50%
2016-07-14,10.12%,5.09%,6.29%,28.19%
2016-07-15,8.45%,4.99%,6.20%,28.05%
2016-07-18,8.25%,5.25%,6.75%,28.25%
2016-07-19,9.17%,5.09%,6.34%,27.85%
2016-07-20,11.08%,5.54%,7.47%,30.83%
2016-07-21,10.99%,5.16%,7.13%,28.31%
2016-07-22,7.16%,5.64%,7.69%,30.78%
2016-07-25,7.51%,5.32%,7.63%,31.18%
2016-07-26,7.80%,5.36%,7.90%,32.04%
2016-07-27,7.26%,5.23%,8.53%,33.36%
2016-07-28,7.56%,5.40%,8.85%,35.13%
2016-07-29,7.69%,5.57%,9.00%,34.75%
2016-08-01,7.60%,5.44%,9.46%,34.90%
2016-08-02,6.29%,4.77%,8.48%,32.98%
2016-08-03,7.66%,5.09%,8.95%,34.48%
2016-08-04,9.41%,5.12%,9.08%,36.18%
2016-08-05,12.94%,6.02%,10.24%,37.99%
2016-08-08,13.07%,5.93%,10.07%,37.57%
2016-08-09,13.04%,5.97%,10.33%,38.01%
2016-08-10,12.72%,5.66%,9.89%,37.49%
2016-08-11,13.97%,6.16%,10.40%,38.47%
2016-08-12,14.02%,6.08%,10.49%,38.19%
2016-08-15,14.35%,6.37%,11.11%,38.66%
2016-08-16,13.89%,5.79%,10.37%,37.21%
2016-08-17,13.37%,5.99%,10.40%,35.61%
2016-08-18,14.26%,6.22%,10.64%,36.85%
2016-08-19,14.68%,6.07%,10.61%,37.71%
2016-08-22,14.67%,6.01%,10.74%,37.46%
2016-08-23,14.90%,6.22%,11.06%,39.77%
2016-08-24,13.81%,5.66%,10.17%,38.68%
2016-08-25,13.92%,5.52%,10.05%,39.69%
2016-08-26,14.07%,5.35%,10.20%,39.96%
2016-08-29,13.40%,5.90%,10.48%,39.86%
2016-08-30,13.09%,5.69%,10.28%,39.98%
2016-08-31,13.68%,5.44%,10.08%,40.43%
2016-09-01,13.43%,5.44%,10.37%,41.20%
2016-09-02,15.57%,5.88%,10.85%,42.91%
2016-09-06,15.87%,6.20%,11.40%,43.77%
2016-09-07,17.24%,6.18%,11.57%,43.86%
2016-09-08,18.24%,5.94%,11.05%,42.90%
2016-09-09,14.35%,3.35%,8.23%,38.45%
2016-09-12,15.90%,4.86%,10.05%,40.23%
2016-09-13,16.48%,3.31%,8.85%,37.86%
2016-09-14,16.37%,3.25%,9.24%,38.77%
2016-09-15,18.34%,4.29%,10.85%,41.08%
2016-09-16,18.45%,3.90%,10.74%,41.12%
2016-09-19,18.51%,3.90%,10.54%,40.79%
2016-09-20,17.98%,3.93%,10.67%,40.72%
2016-09-21,20.63%,5.06%,11.81%,43.64%
2016-09-22,21.13%,5.74%,12.74%,45.03%
2016-09-23,19.93%,5.14%,12.03%,43.35%
2016-09-26,19.94%,4.24%,11.01%,42.45%
2016-09-27,21.51%,4.91%,12.03%,44.61%
2016-09-28,21.42%,5.46%,12.30%,45.63%
2016-09-29,19.88%,4.48%,11.26%,43.95%
2016-09-30,20.95%,5.31%,12.16%,45.05%
2016-10-03,20.46%,4.97%,11.93%,44.63%
2016-10-04,20.58%,4.45%,11.69%,44.74%
2016-10-05,20.56%,4.90%,12.25%,43.90%
2016-10-06,20.02%,4.95%,12.05%,43.31%
2016-10-07,19.87%,4.61%,11.75%,42.58%
2016-10-10,19.83%,5.09%,12.51%,43.90%
2016-10-11,17.36%,3.78%,10.78%,40.57%
2016-10-12,17.86%,3.90%,10.62%,39.81%
2016-10-13,15.47%,3.58%,10.08%,38.49%
2016-10-14,15.82%,3.60%,10.10%,38.63%
2016-10-17,15.92%,3.28%,9.79%,37.77%
2016-10-18,17.06%,3.92%,10.72%,38.80%
2016-10-19,18.17%,4.15%,10.78%,39.83%
2016-10-20,17.71%,4.00%,10.68%,39.45%
2016-10-21,24.47%,4.00%,11.01%,41.94%
2016-10-24,24.31%,4.49%,12.12%,44.57%
2016-10-25,22.62%,4.09%,11.56%,42.76%
2016-10-26,20.87%,3.91%,10.86%,40.71%
2016-10-27,19.41%,3.60%,10.13%,38.85%
2016-10-28,19.34%,3.28%,9.59%,40.19%
2016-10-31,19.50%,3.27%,9.57%,40.90%
2016-11-01,18.88%,2.57%,8.82%,39.82%
2016-11-02,17.68%,1.90%,7.80%,35.99%
2016-11-03,16.53%,1.45%,6.81%,35.08%
2016-11-04,16.20%,1.28%,6.55%,34.97%
2016-11-07,17.46%,3.53%,9.08%,39.17%
2016-11-08,18.82%,3.92%,9.66%,39.44%
2016-11-09,17.75%,5.07%,10.87%,39.54%
2016-11-10,15.03%,5.27%,9.98%,38.35%
2016-11-11,14.20%,5.13%,10.58%,41.05%
2016-11-14,11.71%,5.11%,10.18%,38.63%
2016-11-15,12.46%,5.90%,11.39%,40.23%
2016-11-16,13.08%,5.73%,11.79%,41.46%
2016-11-17,15.56%,6.23%,12.62%,43.30%
2016-11-18,16.48%,5.97%,12.36%,43.85%
2016-11-21,18.04%,6.76%,13.36%,44.33%
2016-11-22,17.50%,7.00%,13.73%,43.20%
2016-11-23,17.27%,7.08%,13.61%,44.05%
2016-11-25,17.63%,7.50%,14.00%,44.34%
2016-11-28,16.31%,6.94%,13.36%,42.65%
2016-11-29,16.01%,7.08%,13.60%,42.24%
2016-11-30,14.76%,6.80%,12.41%,40.12%
2016-12-01,11.67%,6.42%,10.88%,34.80%
2016-12-02,12.37%,6.46%,10.97%,33.58%
2016-12-05,14.42%,7.08%,12.10%,36.11%
2016-12-06,14.56%,7.45%,12.60%,36.76%
2016-12-07,17.11%,8.86%,13.89%,37.77%
2016-12-08,17.53%,9.10%,14.39%,39.23%
2016-12-09,17.34%,9.74%,14.96%,37.81%
2016-12-12,16.32%,9.62%,14.28%,36.07%
2016-12-13,16.79%,10.34%,15.37%,36.87%
2016-12-14,16.54%,9.44%,14.79%,35.12%
2016-12-15,16.98%,9.87%,15.22%,35.24%
2016-12-16,16.37%,9.67%,14.80%,34.99%
2016-12-19,15.96%,9.89%,15.23%,35.42%
2016-12-20,16.54%,10.29%,15.79%,36.12%
2016-12-21,16.64%,10.02%,15.53%,34.49%
